IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Rasio_Absensi,IPK_x_Study
2.1,12,2,0.8571428571428571,4.2
3.8,3,10,0.2142857142857142,38.0
3.8,3,10,0.2142857142857142,38.0
2.7,7,3,0.5,8.100000000000001
3.6,4,9,0.2857142857142857,32.4
3.6,4,9,0.2857142857142857,32.4
2.8,6,4,0.4285714285714285,11.2
3.2,5,8,0.3571428571428571,25.6
2.5,8,5,0.5714285714285714,12.5
3.9,2,12,0.1428571428571428,46.8
2.1,12,2,0.8571428571428571,4.2
3.2,5,8,0.3571428571428571,25.6
2.5,8,5,0.5714285714285714,12.5
3.8,3,10,0.2142857142857142,38.0
2.3,9,4,0.6428571428571429,9.2
3.4,4,7,0.2857142857142857,23.8
3.4,4,7,0.2857142857142857,23.8
3.9,2,12,0.1428571428571428,46.8
3.9,2,12,0.1428571428571428,46.8
3.2,5,8,0.3571428571428571,25.6
2.3,9,4,0.6428571428571429,9.2
2.8,6,4,0.4285714285714285,11.2
2.7,7,3,0.5,8.100000000000001
2.5,8,5,0.5714285714285714,12.5
3.9,2,12,0.1428571428571428,46.8
2.1,12,2,0.8571428571428571,4.2
2.8,6,4,0.4285714285714285,11.2
2.7,7,3,0.5,8.100000000000001
3.2,5,8,0.3571428571428571,25.6
2.3,9,4,0.6428571428571429,9.2
3.9,2,12,0.1428571428571428,46.8
3.8,3,10,0.2142857142857142,38.0
2.1,12,2,0.8571428571428571,4.2
3.2,5,8,0.3571428571428571,25.6
2.7,7,3,0.5,8.100000000000001
